device_address,device_name,seq,t_us,received_at_ns,synced_at_ns,cheep_sync_alpha_ns,cheep_sync_beta
00:70:07:29:92:2E,ESP32,0,70493886,2162023879212502,70493886000,0.0,1.0
00:70:07:29:92:2E,ESP32,1,71493886,2162024866997252,2162024866997252,2.161954246426943E15,0.98778475
00:70:07:29:92:2E,ESP32,2,72493886,2162025873910379,2162025870722316,2.1619535690220665E15,0.9973489385
00:70:07:29:92:2E,ESP32,3,73493886,2162026879974670,2162026876403645,2.1619533149059822E15,1.0009199631
00:70:07:29:92:2E,ESP32,4,74493886,2162027869262635,2162027872487024,2.1619534301680462E15,0.9993077684
00:70:07:29:92:2E,ESP32,5,75493886,2162028873085959,2162028872471117,2.1619534169193492E15,0.9994922207142857
00:70:07:29:92:2E,ESP32,6,76493886,2162029882547792,2162029876877549,2.1619533350857778E15,1.0006262692857142
00:70:07:29:92:2E,ESP32,7,77493886,2162030880393333,2162030878707782,2.161953317629766E15,1.0008670621666664
00:70:07:29:92:2E,ESP32,8,78493886,2162031872790387,2162031877011827,2.1619533505693132E15,1.0004147649666668
00:70:07:29:92:2E,ESP32,9,79493886,2162032880055606,2162032878334797,2.1619533400780362E15,1.0005581657030305
00:70:07:29:92:2E,ESP32,10,80493886,2162033871287865,2162033876473158,2.1619533654838632E15,1.0002124794363636
00:70:07:29:92:2E,ESP32,11,81493886,2162034880862573,2162034877917298,2.1619533536234222E15,1.0003731307657342
00:70:07:29:92:2E,ESP32,12,82493886,2162035884397445,2162035879968180,2.1619533386926642E15,1.0005744609505491
00:70:07:29:92:2E,ESP32,13,83493886,2162036874911158,2162036879094545,2.1619533506786962E15,1.000413561410989
00:70:07:29:92:2E,ESP32,14,84493886,2162037877894272,2162037879118097,2.161953353697667E15,1.000373215525
00:70:07:29:92:2E,ESP32,15,85493886,2162038912509507,2162038887017518,2.1619532989550405E15,1.0011015580455884
00:70:07:29:92:2E,ESP32,16,86493886,2162039877274929,2162039885780143,2.1619533150073322E15,1.0008889276960784
00:70:07:29:92:2E,ESP32,17,87493886,2162040883207587,2162040885960579,2.161953319612151E15,1.0008281999122808
00:70:07:29:92:2E,ESP32,18,88493886,2162041894044176,2162041888201672,2.1619533108872828E15,1.0009427588
00:70:07:29:92:2E,ESP32,19,89493886,2162042887082507,2162042888761502,2.1619533131404915E15,1.0009133027353383
00:70:07:29:92:2E,ESP32,20,90493886,2162043891689156,2162043890032330,2.1619533111306608E15,1.0009394631324675
00:70:07:29:92:2E,ESP32,21,91493886,2162044884404611,2162044889855631,2.1619533171392868E15,1.0008615913975156
00:70:07:29:92:2E,ESP32,22,92493886,2162045875537790,2162045888242315,2.161953329925301E15,1.0006965975513833
00:70:07:29:92:2E,ESP32,23,93493886,2162046890496612,2162046889182952,2.1619533287129878E15,1.0007121745343481
00:70:07:29:92:2E,ESP32,24,94493886,2162047912072988,2162047893238866,2.1619533127120605E15,1.0009168932453845
00:70:07:29:92:2E,ESP32,25,95493886,2162048883670441,2162048892632251,2.161953319746534E15,1.0008272751357274
00:70:07:29:92:2E,ESP32,26,96493886,2162049893780020,2162049893504463,2.1619533195460298E15,1.000829818730159
00:70:07:29:92:2E,ESP32,27,97493886,2162050895642813,2162050894511546,2.1619533187806308E15,1.0008394876735094
00:70:07:29:92:2E,ESP32,28,98493886,2162051887252962,2162051894289907,2.161953323220267E15,1.0007836388990146
00:70:07:29:92:2E,ESP32,29,99493886,2162052906494296,2162052896522630,2.1619533173384172E15,1.0008573211539495
00:70:07:29:92:2E,ESP32,30,100493886,2162053895697543,2162053897173042,2.1619533181541202E15,1.000847145293145
00:70:07:29:92:2E,ESP32,31,101493886,2162054886644321,2162054896662840,2.1619533233568915E15,1.0007825096845682
00:70:07:29:92:2E,ESP32,32,102493886,2162055893305454,2162055896965682,2.1619533251462832E15,1.0007603712032085
00:70:07:29:92:2E,ESP32,33,103493886,2162056882955601,2162056896062826,2.1619533311905428E15,1.000685898330329
00:70:07:29:92:2E,ESP32,34,104493886,2162057903525100,2162057897490899,2.1619533285608612E15,1.0007181667829135
00:70:07:29:92:2E,ESP32,35,105493886,2162058893056514,2162058897659770,2.1619533304600462E15,1.000694957088546
00:70:07:29:92:2E,ESP32,36,106493886,2162059883055944,2162059896766091,2.1619533358240142E15,1.000629670674016
00:70:07:29:92:2E,ESP32,37,107493886,2162060886821651,2162060896325507,2.161953339355591E15,1.000586860509137
00:70:07:29:92:2E,ESP32,38,108493886,2162061880956662,2162061895337253,2.16195334443854E15,1.0005254924087053
00:70:07:29:92:2E,ESP32,39,109493886,2162062895072995,2162062895786660,2.1619533446788182E15,1.0005226030759857
00:70:07:29:92:2E,ESP32,40,110493886,2162063876372841,2162063894433711,2.1619533504787118E15,1.0004531381900703
00:70:07:29:92:2E,ESP32,41,111493886,2162064891245563,2162064894552157,2.1619533514927948E15,1.0004410408926343
00:70:07:29:92:2E,ESP32,42,112493886,2162065896537922,2162065895131995,2.1619533510805175E15,1.0004459395928729
00:70:07:29:92:2E,ESP32,43,113493886,2162066882452798,2162066894424513,2.1619533544411048E15,1.000406166451586
00:70:07:29:92:2E,ESP32,44,114493886,2162067891532307,2162067894547052,2.1619533552520955E15,1.000396605950198
00:70:07:29:92:2E,ESP32,45,115493886,2162068893548869,2162068894826242,2.1619533555817372E15,1.0003927351211843
00:70:07:29:92:2E,ESP32,46,116493886,2162069887266887,2162069894563353,2.1619533573898625E15,1.0003715859438025
00:70:07:29:92:2E,ESP32,47,117493886,2162070891028403,2162070894619360,2.1619533582451868E15,1.0003616202903818
00:70:07:29:92:2E,ESP32,48,118493886,2162071897491701,2162071895179788,2.1619533577154108E15,1.000367768993878
00:70:07:29:92:2E,ESP32,49,119493886,2162072883610394,2162072894620671,2.161953360144803E15,1.0003396815503958
00:70:07:29:92:2E,ESP32,50,120493886,2162073891777631,2162073894762673,2.1619533604846782E15,1.0003352202843687
00:70:07:29:92:2E,ESP32,51,121493886,2162074889504926,2162074894210030,2.161953364569614E15,1.000294289844129
00:70:07:29:92:2E,ESP32,52,122493886,2162075885397302,2162075893562009,2.1619533680158832E15,1.0002584629118363
00:70:07:29:92:2E,ESP32,53,123493886,2162076881941614,2162076892861207,2.161953370787347E15,1.000228253087971
00:70:07:29:92:2E,ESP32,54,124493886,2162077895239547,2162077892759842,2.16195337361278E15,1.0002029100609355
00:70:07:29:92:2E,ESP32,55,125493886,2162078886638270,2162078892082423,2.161953377590679E15,1.0001641971960618
00:70:07:29:92:2E,ESP32,56,126493886,2162079891965378,2162079892165224,2.1619533780542438E15,1.0001598889963979
